"","Neighbourhood","F_weekcases","L_weekcases","POP","F_weekrate","L_weekrate","Average income $ (Total income in 2010 of population aged 15 years and over)","Percent of Pop Age 18 to 24"
"1","Agincourt North",3,185,30279,0.990785693054592,61.0984510716999,28306,9.775752171
"2","Agincourt South-Malvern West",7,201,21988,3.18355466618155,91.4134982717846,29079,10.25559396
"3","Alderwood",12,145,11904,10.0806451612903,121.807795698925,40376,8.064516129
"4","Annex",16,246,29177,5.48377146382424,84.3129862562978,72290,12.06429722
"5","Banbury-Don Mills",5,223,26918,1.85749312727543,82.8441934764841,62498,6.798424846
"6","Bathurst Manor",8,258,15434,5.1833614098743,167.163405468446,38422,8.228586238
"7","Bay Street Corridor",12,314,19348,6.20219144097581,162.290676038867,56506,18.76162911
"8","Bayview Village",5,152,17671,2.82949465225511,86.0166374285553,49935,9.026087941
"9","Bayview Woods-Steeles",3,84,13530,2.21729490022173,62.0842572062084,44023,9.830007391
"10","Bedford Park-Nortown",26,200,23185,11.2141470778521,86.2626698296312,89227,8.130256631
"11","Beechborough-Greenbrook",6,47,6488,9.2478421701603,72.4414303329223,30980,9.479038224
"12","Bendale",9,302,27876,3.22858372793801,108.336920648587,31007,9.954799828
"13","Birchcliffe-Cliffside",7,217,21856,3.20278184480234,99.2862371888726,48799,8.167093704
"14","Black Creek",7,169,22057,3.17359568390987,76.619667225824,24154,10.65421408
"15","Blake-Jones",5,103,7763,6.44080896560608,132.680664691485,40610,8.823908283
"16","Bridle Path-Sunnybrook-York Mills",5,62,8713,5.73855158957879,71.158039710777,213134,10.32939286
"17","Broadview North",5,160,11563,4.32413733460175,138.372394707256,37582,7.307792095
"18","Brookhaven-Amesbury",1,145,17787,0.562208354416147,81.5202113903413,29605,9.613762861
"19","Cabbagetown-South St. James Town",3,99,12053,2.48900688625239,82.1372272463287,58741,7.632954451
"20","Caledonia-Fairbank",1,130,9851,1.01512536798295,131.966297837783,30736,9.339153385
"21","Casa Loma",6,100,10487,5.72136931438924,95.3561552398207,104884,7.914560885
"22","Centennial Scarborough",8,155,13093,6.11013518674101,118.383869243107,49491,10.19628809
"23","Church-Yonge Corridor",17,406,28349,5.99668418639105,143.214928216163,46104,15.079897
"24","Clairlea-Birchmount",14,380,24770,5.65199838514332,153.411384739604,34237,9.023011708
"25","Clanton Park",34,174,14612,23.268546400219,119.08020804818,45742,8.14399124
"26","Cliffcrest",8,200,15703,5.09456791695854,127.364197923964,41386,9.138381201
"27","Corso Italia-Davenport",12,172,13743,8.73171796550971,125.154624172306,35411,9.64127192
"28","Danforth",5,110,9444,5.29436679373147,116.476069462092,44460,7.888606523
"29","Don Valley Village",8,170,26739,2.99188451325779,63.577545906728,33959,9.218744156
"30","Dorset Park",5,299,24363,2.05229241062267,122.727086155235,29198,8.640151049
"31","Dovercourt-Wallace Emerson-Junction",22,376,34631,6.35268978660737,108.573243625653,34337,9.716727787
"32","Downsview-Roding-CFB",19,436,34659,5.48198159208286,125.797051270954,29635,8.583629072
"33","Dufferin Grove",6,138,11449,5.24063236963927,120.534544501703,33973,8.865403092
"34","East End-Danforth",9,245,20839,4.31882527952397,117.568021498153,48746,7.342002975
"35","Edenbridge-Humber Valley",13,144,14943,8.69972562403801,96.3661915278057,63321,8.900488523
"36","Eglinton East",6,219,22829,2.6282360155942,95.9306145691883,28324,9.264531955
"37","Elms-Old Rexdale",2,97,9550,2.09424083769634,101.570680628272,29596,10.05235602
"38","Englemount-Lawrence",16,218,22086,7.24440822240333,98.7050620302454,44363,8.534818437
"39","Eringate-Centennial-West Deane",9,148,18810,4.78468899521531,78.6815523657629,43353,9.144072302
"40","Etobicoke West Mall",6,102,10927,5.49098563192093,93.3467557426558,34153,9.060126293
"41","Flemingdon Park",10,242,22168,4.51100685673042,109.166365932876,28422,9.901660051
"42","Forest Hill North",13,125,12474,10.4216770883438,100.208433541767,71920,8.738175405
"43","Forest Hill South",11,70,10926,10.067728354384,64.0673622551711,122460,10.47958997
"44","Glenfield-Jane Heights",14,272,31390,4.46001911436763,86.6517999362854,25726,9.652755655
"45","Greenwood-Coxwell",5,144,14083,3.5503798906483,102.250940850671,41374,7.846339558
"46","Guildwood",6,97,9816,6.11246943765281,98.8182559087205,47713,7.436837816
"47","Henry Farm",1,206,11333,0.882378893496867,181.770052060355,32617,9.926762552
"48","High Park-Swansea",20,224,21740,9.19963201471941,103.035878564857,63148,6.34774609
"49","High Park North",17,180,21292,7.9842194251362,84.5387939132068,50002,7.725906444
"50","Highland Creek",3,155,13097,2.29060090096969,118.347713216767,39918,11.4530045
"51","Hillcrest Village",3,104,17656,1.69913910285455,58.9034888989579,38449,10.2231536
"52","Humber Heights-Westmount",5,117,10583,4.72455825380327,110.554663138997,40658,7.134082963
"53","Humber Summit",3,137,12525,2.39520958083832,109.38123752495,27265,9.580838323
"54","Humbermede",13,202,15853,8.20034062953384,127.420677474295,27025,9.903488299
"55","Humewood-Cedarvale",9,117,14108,6.37935922880635,82.9316699744826,52647,9.498157074
"56","Ionview",2,103,13091,1.52776716828355,78.680009166603,28412,9.472156443
"57","Islington-City Centre West",25,444,38084,6.56443650877009,116.584392395757,46948,8.336834366
"58","Junction Area",6,163,14027,4.27746488914237,116.204462821701,39242,8.62622086
"59","Keelesdale-Eglinton West",8,116,10638,7.52021056589585,109.04305320549,28919,9.212257943
"60","Kennedy Park",5,230,17058,2.93117598780631,134.83409543909,27622,8.734904444
"61","Kensington-Chinatown",7,156,18495,3.78480670451473,84.3471208434712,31229,17.46417951
"62","Kingsview Village-The Westway",14,230,21723,6.44478202826497,105.878561892925,34120,9.298899784
"63","Kingsway South",4,77,9170,4.36205016357688,83.969465648855,110927,7.251908397
"64","L'Amoreaux",10,307,44919,2.22622943520559,68.3452436608117,28611,9.750884926
"65","Lambton Baby Point",3,69,7921,3.78740058073476,87.1102133568994,69142,7.448554475
"66","Lansing-Westgate",5,102,14642,3.4148340390657,69.6626143969403,57377,8.810271821
"67","Lawrence Park North",13,126,14541,8.94023794787154,86.6515370332164,97379,6.67079293
