Neighbourhood,Age 18,Age 19,Age 20,Age 21,Age 22,Age 23,Age 24,Total Neighbourhood Population,Proportion of Pop Age 18 to 24 ,Percent of Pop Age 18 to 24
Agincourt North,410,390,405,420,480,425,430,30279,0.097757522,9.775752171
Agincourt South-Malvern West,335,295,325,320,345,310,325,21988,0.10255594,10.25559396
Alderwood,130,145,125,140,145,135,140,11904,0.080645161,8.064516129
Annex,170,285,430,515,610,695,815,29177,0.120642972,12.06429722
Banbury-Don Mills,295,255,255,270,260,215,280,26918,0.067984248,6.798424846
Bathurst Manor,190,160,175,175,160,185,225,15434,0.082285862,8.228586238
Bay Street Corridor,180,355,455,550,690,700,700,19348,0.187616291,18.76162911
Bayview Village,190,210,200,230,235,280,250,17671,0.090260879,9.026087941
Bayview Woods-Steeles,190,195,190,175,200,180,200,13530,0.098300074,9.830007391
Bedford Park-Nortown,315,330,300,275,235,245,185,23185,0.081302566,8.130256631
Beechborough-Greenbrook,90,80,90,95,90,80,90,6488,0.094790382,9.479038224
Bendale,330,360,425,395,435,395,435,27876,0.099547998,9.954799828
Birchcliffe-Cliffside,295,285,250,270,250,220,215,21856,0.081670937,8.167093704
Black Creek,310,335,340,325,355,320,365,22057,0.106542141,10.65421408
Blake-Jones,80,100,105,100,100,105,95,7763,0.088239083,8.823908283
Briar Hill-Belgravia,150,160,160,170,160,215,190,14302,0.08425395,8.42539505
Bridle Path-Sunnybrook-York Mills,140,150,150,135,140,100,85,8713,0.103293929,10.32939286
Broadview North,100,105,105,110,110,145,170,11563,0.073077921,7.307792095
Brookhaven-Amesbury,265,230,245,250,230,240,250,17787,0.096137629,9.613762861
Cabbagetown-South St. James Town,65,100,125,120,140,170,200,12053,0.076329545,7.632954451
Caledonia-Fairbank,125,130,135,130,135,125,140,9851,0.093391534,9.339153385
Casa Loma,80,80,85,130,130,165,160,10487,0.079145609,7.914560885
Centennial Scarborough,205,200,200,190,190,180,170,13093,0.101962881,10.19628809
Church-Yonge Corridor,220,390,500,575,745,890,955,28349,0.15079897,15.079897
Clairlea-Birchmount,330,320,335,345,320,305,280,24770,0.090230117,9.023011708
Clanton Park,190,165,185,150,160,170,170,14612,0.081439912,8.14399124
Cliffcrest,250,200,200,235,190,170,190,15703,0.091383812,9.138381201
Corso Italia-Davenport,190,190,180,190,205,185,185,13743,0.096412719,9.64127192
Danforth,85,90,120,125,100,110,115,9444,0.078886065,7.888606523
Danforth East York,130,165,145,175,140,175,155,16712,0.064923408,6.492340833
Don Valley Village,330,345,330,375,355,360,370,26739,0.092187442,9.218744156
Dorset Park,280,325,275,280,315,310,320,24363,0.08640151,8.640151049
Dovercourt-Wallace Emerson-Junction,355,385,395,480,485,630,635,34631,0.097167278,9.716727787
Downsview-Roding-CFB,400,370,430,420,450,465,440,34659,0.085836291,8.583629072
Dufferin Grove,75,90,105,120,155,200,270,11449,0.088654031,8.865403092
