Neighbourhood,  Average income $ (Total income in 2010 of population aged 15 years and over)
Agincourt North,28306
Agincourt South-Malvern West,29079
Alderwood,40376
Annex,72290
Banbury-Don Mills,62498
Bathurst Manor,38422
Bay Street Corridor,56506
Bayview Village,49935
Bayview Woods-Steeles,44023
Bedford Park-Nortown,89227
Beechborough-Greenbrook,30980
Bendale,31007
Birchcliffe-Cliffside,48799
Black Creek,24154
Blake-Jones,40610
Briar Hill-Belgravia,33408
Bridle Path-Sunnybrook-York Mills,213134
Broadview North,37582
Brookhaven-Amesbury,29605
Cabbagetown-South St. James Town,58741
Caledonia-Fairbank,30736
Casa Loma,104884
Centennial Scarborough,49491
Church-Yonge Corridor,46104
Clairlea-Birchmount,34237
Clanton Park,45742
Cliffcrest,41386
Corso Italia-Davenport,35411
Danforth,44460
Danforth East York,43619
Don Valley Village,33959
Dorset Park,29198
Dovercourt-Wallace Emerson-Junction,34337
Downsview-Roding-CFB,29635
Dufferin Grove,33973
East End-Danforth,48746
Edenbridge-Humber Valley,63321
Eglinton East,28324
Elms-Old Rexdale,29596
Englemount-Lawrence,44363
Eringate-Centennial-West Deane,43353
Etobicoke West Mall,34153
Flemingdon Park,28422
Forest Hill North,71920
Forest Hill South,122460
Glenfield-Jane Heights,25726
Greenwood-Coxwell,41374
Guildwood,47713
Henry Farm,32617
High Park North,50002
High Park-Swansea,63148
Highland Creek,39918
Hillcrest Village,38449
Humber Heights-Westmount,40658
Humber Summit,27265
Humbermede,27025
Humewood-Cedarvale,52647
Ionview,28412
Islington-City Centre West,46948
Junction Area,39242
Keelesdale-Eglinton West,28919
Kennedy Park,27622
Kensington-Chinatown,31229
Kingsview Village-The Westway,34120
Kingsway South,110927
Lambton Baby Point,69142
L'Amoreaux,28611
Lansing-Westgate,57377
Lawrence Park North,97379
Lawrence Park South,122820
Leaside-Bennington,91183
Little Portugal,38061
Long Branch,42148
Malvern,27892
Maple Leaf,33303
Markland Wood,51983
Milliken,27227
Mimico (includes Humber Bay Shores),52177
Morningside,30034
Moss Park,47075
Mount Dennis,31081
Mount Olive-Silverstone-Jamestown,25072
Mount Pleasant East,76925
Mount Pleasant West,52846
New Toronto,36608
Newtonbrook East,40332
Newtonbrook West,32612
Niagara,61343
North Riverdale,62102
North St. James Town,28048
Oakridge,25013
Oakwood Village,33568
O'Connor-Parkview,38550
Old East York,47728
Palmerston-Little Italy,43767
Parkwoods-Donalda,39337
Pelmo Park-Humberlea,34926
Playter Estates-Danforth,59218
Pleasant View,32568
Princess-Rosethorn,75429
Regent Park,28246
Rexdale-Kipling,32775
Rockcliffe-Smythe,31526
Roncesvalles,44827
Rosedale-Moore Park,137433
Rouge,36687
Runnymede-Bloor West Village,62301
Rustic,28923
Scarborough Village,31337
South Parkdale,30198
South Riverdale,44138
St.Andrew-Windfields,86730
Steeles,28731
Stonegate-Queensway,55143
Tam O'Shanter-Sullivan,30311
Taylor-Massey,28266
The Beaches,81968
Thistletown-Beaumond Heights,31134
Thorncliffe Park,27345
Trinity-Bellwoods,38853
University,43490
Victoria Village,33250
Waterfront Communities-The Island,61595
West Hill,31067
West Humber-Clairville,30289
Westminster-Branson,31799
Weston,32910
Weston-Pelham Park,29769
Wexford/Maryvale,33155
Willowdale East,44669
Willowdale West,43697
Willowridge-Martingrove-Richview,39001
Woburn,29806
Woodbine Corridor,49789
Woodbine-Lumsden,41302
Wychwood,45108
Yonge-Eglinton,76029
Yonge-St.Clair,101019
York University Heights,26759
Yorkdale-Glen Park,34879
