"Neighbourhood","Area"
"Agincourt North",7.41
"Agincourt South-Malvern West",7.83
"Alderwood",4.95
"Annex",2.81
"Banbury-Don Mills",9.98
"Bathurst Manor",4.7
"Bay Street Corridor",1.83
"Bayview Village",5.1
"Bayview Woods-Steeles",4.06
"Bedford Park-Nortown",5.52
"Beechborough-Greenbrook",1.82
"Bendale",7.47
"Birchcliffe-Cliffside",5.92
"Black Creek",3.47
"Blake-Jones",0.95
"Briar Hill-Belgravia",1.83
"Bridle Path-Sunnybrook-York Mills",8.91
"Broadview North",1.7
"Brookhaven-Amesbury",3.52
"Cabbagetown-South St. James Town",1.4
"Caledonia-Fairbank",1.54
"Casa Loma",1.94
"Centennial Scarborough",5.39
"Church-Yonge Corridor",1.36
"Clairlea-Birchmount",7.43
"Clanton Park",4.14
"Cliffcrest",7.01
"Corso Italia-Davenport",1.89
"Danforth",1.13
"Danforth East York",2.18
"Don Valley Village",4.2
"Dorset Park",6.02
"Dovercourt-Wallace Emerson-Junction",3.74
"Downsview-Roding-CFB",15
"Dufferin Grove",1.38
"East End-Danforth",2.66
"Edenbridge-Humber Valley",5.47
"Eglinton East",3.24
"Elms-Old Rexdale",2.86
"Englemount-Lawrence",3.47
"Eringate-Centennial-West Deane",8.56
"Etobicoke West Mall",1.8
"Flemingdon Park",2.43
"Forest Hill North",1.59
"Forest Hill South",2.45
"Glenfield-Jane Heights",5.2
"Greenwood-Coxwell",1.68
"Guildwood",3.71
"Henry Farm",2.6
"High Park North",1.89
"High Park-Swansea",4.89
"Highland Creek",5.2
"Hillcrest Village",5.38
"Humber Heights-Westmount",2.75
"Humber Summit",7.9
"Humbermede",4.36
"Humewood-Cedarvale",1.87
"Ionview",1.94
"Islington-City Centre West",16.21
"Junction Area",2.64
"Keelesdale-Eglinton West",1.71
"Kennedy Park",3.59
"Kensington-Chinatown",1.52
"Kingsview Village-The Westway",5.05
"Kingsway South",2.58
"Lambton Baby Point",1.7
"L'Amoreaux",7.16
"Lansing-Westgate",5.32
"Lawrence Park North",2.28
"Lawrence Park South",3.24
"Leaside-Bennington",4.66
"Little Portugal",1.21
"Long Branch",2.2
"Malvern",8.85
"Maple Leaf",2.52
"Markland Wood",2.92
"Milliken",9.39
"Mimico (includes Humber Bay Shores)",6.92
"Morningside",5.74
"Moss Park",1.41
"Mount Dennis",2.11
"Mount Olive-Silverstone-Jamestown",4.52
"Mount Pleasant East",3.1
"Mount Pleasant West",1.35
"New Toronto",3.43
"Newtonbrook East",4.1
"Newtonbrook West",4.7
"Niagara",3.07
"North Riverdale",1.76
"North St. James Town",0.42
"Oakridge",1.86
"Oakwood Village",2.23
"O'Connor-Parkview",4.94
"Old East York",2.31
"Palmerston-Little Italy",1.44
"Parkwoods-Donalda",7.42
"Pelmo Park-Humberlea",4.21
"Playter Estates-Danforth",0.9
"Pleasant View",3
"Princess-Rosethorn",5.17
"Regent Park",0.64
"Rexdale-Kipling",2.49
"Rockcliffe-Smythe",5.04
"Roncesvalles",1.52
"Rosedale-Moore Park",4.65
"Rouge",36.9
"Runnymede-Bloor West Village",1.59
"Rustic",2.1
"Scarborough Village",3.1
"South Parkdale",2.28
"South Riverdale",8.89
"St.Andrew-Windfields",7.33
"Steeles",4.53
"Stonegate-Queensway",7.83
"Tam O'Shanter-Sullivan",5.41
"Taylor-Massey",1.01
"The Beaches",3.56
"Thistletown-Beaumond Heights",3.31
"Thorncliffe Park",3.11
"Trinity-Bellwoods",1.73
"University",1.41
"Victoria Village",4.72
"Waterfront Communities-The Island",7.36
"West Hill",9.59
"West Humber-Clairville",29.81
"Westminster-Branson",3.58
"Weston",2.5
"Weston-Pelham Park",1.46
"Wexford/Maryvale",10.25
"Willowdale East",5
"Willowdale West",2.9
"Willowridge-Martingrove-Richview",5.53
"Woburn",12.31
"Woodbine Corridor",1.6
"Woodbine-Lumsden",1.17
"Wychwood",1.68
"Yonge-Eglinton",1.65
"Yonge-St.Clair",1.17
"York University Heights",13.23
"Yorkdale-Glen Park",6.04
